,,option,position,wind_id,k,p,close,iv,delta,gamma,vega,theta
20190718,open a position,option(delta<-0.25),-0.08192324447791353,10001872.SH,2.9,0.04096162223895677,0.028,0.20807769894599915,-0.46405048547738215,5.126738126431163,0.14798487505599425,-0.9090793820422898
20190718,open a position,option(delta>-0.25),-1.9180767555220866,10001871.SH,2.85,0.9590383777610433,0.0118,0.2199569046497345,-0.24085765978765195,3.802017742868489,0.11601186220156719,-0.7619308109093967
20190718,open a position,option(delta<-0.5),0.14767942566008221,10001874.SH,2.95,0.14767942566008221,0.0582,0.2097105085849762,-0.7074798891464067,4.400181638950872,0.12800928073425608,-0.7742635308260826
20190718,open a position,option(delta>-0.5),0.8523205743399178,10001872.SH,2.9,0.8523205743399178,0.028,0.20807769894599915,-0.46405048547738215,5.126738126431163,0.14798487505599425,-0.9090793820422898
20190719,close a position,option(delta<-0.25),0.08192324447791353,10001872.SH,2.9,0.04096162223895677,0.0132,0.21399667859077454,-0.28420318313710013,4.604335029598869,0.11666638754094605,-0.8942918622950597
20190719,close a position,option(delta>-0.25),1.9180767555220866,10001871.SH,2.85,0.9590383777610433,0.0045,0.2271641194820404,-0.11644159196947956,2.5052329001663405,0.0673844430130917,-0.5517806941066296
20190719,close a position,option(delta<-0.5),-0.14767942566008221,10001874.SH,2.95,0.14767942566008221,0.0346,0.21659138798713684,-0.5439797471383453,5.320264600974286,0.13644141583638708,-1.0459712916101547
20190719,close a position,option(delta>-0.5),-0.8523205743399178,10001872.SH,2.9,0.8523205743399178,0.0132,0.21399667859077454,-0.28420318313710013,4.604335029598869,0.11666638754094605,-0.8942918622950597
20190726,open a position,option(delta<-0.25),1.4057966368953816,10001896.SH,2.9,0.7028983184476908,0.028,0.1762639582157135,-0.27869489399837244,2.1250872877647504,0.30114568554942067,-0.2763733737479283
20190726,open a position,option(delta>-0.25),0.5942033631046184,10001895.SH,2.85,0.2971016815523092,0.0162,0.1778169572353363,-0.18211215556200222,1.6578558884930374,0.23700434295727804,-0.2218805545862344
20190726,open a position,option(delta<-0.5),-0.8427872273079716,10001898.SH,3.0,0.8427872273079716,0.0728,0.18503686785697937,-0.5190807966122539,2.4017981369032073,0.35729844468087313,-0.33321307520177784
20190726,open a position,option(delta>-0.5),-0.15721277269202838,10001897.SH,2.95,0.15721277269202838,0.0472,0.18047264218330383,-0.3977115447027274,2.383872987497511,0.3458842946935135,-0.32055266802264476
20190729,close a position,option(delta<-0.25),-1.4057966368953816,10001896.SH,2.9,0.7028983184476908,0.03,0.18734142184257507,-0.29060216629402,2.142206146184504,0.29253164282992566,-0.3154784393994837
20190729,close a position,option(delta>-0.25),-0.5942033631046184,10001895.SH,2.85,0.2971016815523092,0.0175,0.1884879171848297,-0.19202924088425033,1.6973115944241597,0.23319695242384747,-0.25560448613078074
20190729,close a position,option(delta<-0.5),0.8427872273079716,10001898.SH,3.0,0.8427872273079716,0.075,0.19357672333717346,-0.5299953057887421,2.4070669487545673,0.3396401946116412,-0.3668909650026539
20190729,close a position,option(delta>-0.5),0.15721277269202838,10001897.SH,2.95,0.15721277269202838,0.0482,0.18681475520133972,-0.40754877138999723,2.4337984936923767,0.33141607547551544,-0.3514023244014619
20190729,open a position,option(delta<-0.25),1.1762004399233161,10001896.SH,2.9,0.5881002199616581,0.03,0.18734142184257507,-0.29060216629402,2.142206146184504,0.29253164282992566,-0.3154784393994837
20190729,open a position,option(delta>-0.25),0.8237995600766839,10001895.SH,2.85,0.41189978003834193,0.0175,0.1884879171848297,-0.19202924088425033,1.6973115944241597,0.23319695242384747,-0.25560448613078074
20190729,open a position,option(delta<-0.5),-0.7550334443026134,10001898.SH,3.0,0.7550334443026134,0.075,0.19357672333717346,-0.5299953057887421,2.4070669487545673,0.3396401946116412,-0.3668909650026539
20190729,open a position,option(delta>-0.5),-0.24496655569738657,10001897.SH,2.95,0.24496655569738657,0.0482,0.18681475520133972,-0.40754877138999723,2.4337984936923767,0.33141607547551544,-0.3514023244014619
20190730,close a position,option(delta<-0.25),-1.1762004399233161,10001896.SH,2.9,0.5881002199616581,0.026,0.18605288863182068,-0.26548060882218727,2.0921797482344733,0.27612245806340163,-0.3069128796455963
20190730,close a position,option(delta>-0.25),-0.8237995600766839,10001895.SH,2.85,0.41189978003834193,0.0146,0.18663647770881653,-0.1697034553291893,1.608038885966319,0.2128920265646412,-0.23961303107736853
20190730,close a position,option(delta<-0.5),0.7550334443026134,10001898.SH,3.0,0.7550334443026134,0.0672,0.18882796168327332,-0.5075136998302512,2.508034838651138,0.33594345916546076,-0.3675332622347468
20190730,close a position,option(delta>-0.5),0.24496655569738657,10001897.SH,2.95,0.24496655569738657,0.0439,0.1887313425540924,-0.3832095245591006,2.401433232951721,0.3214999172537929,-0.3580687354593762
20190730,open a position,option(delta<-0.25),1.6767369198684943,10001896.SH,2.9,0.8383684599342471,0.026,0.18605288863182068,-0.26548060882218727,2.0921797482344733,0.27612245806340163,-0.3069128796455963
20190730,open a position,option(delta>-0.25),0.32326308013150573,10001895.SH,2.85,0.16163154006575287,0.0146,0.18663647770881653,-0.1697034553291893,1.608038885966319,0.2128920265646412,-0.23961303107736853
20190730,open a position,option(delta<-0.5),-0.9395539223532822,10001898.SH,3.0,0.9395539223532822,0.0672,0.18882796168327332,-0.5075136998302512,2.508034838651138,0.33594345916546076,-0.3675332622347468
20190730,open a position,option(delta>-0.5),-0.06044607764671783,10001897.SH,2.95,0.06044607764671783,0.0439,0.1887313425540924,-0.3832095245591006,2.401433232951721,0.3214999172537929,-0.3580687354593762
20190731,close a position,option(delta<-0.25),-1.6767369198684943,10001896.SH,2.9,0.8383684599342471,0.035,0.1915709674358368,-0.32946164259751665,2.3043496664815053,0.2967062276069462,-0.3502728201155292
20190731,close a position,option(delta>-0.25),-0.32326308013150573,10001895.SH,2.85,0.16163154006575287,0.0201,0.190120130777359,-0.2192746274069648,1.896063801847132,0.24228673663934738,-0.28685281552071723
20190731,close a position,option(delta<-0.5),0.9395539223532822,10001898.SH,3.0,0.9395539223532822,0.0832,0.19437918066978455,-0.5768767096204255,2.4568071990995404,0.32097367314789077,-0.3708379140566752
20190731,close a position,option(delta>-0.5),0.06044607764671783,10001897.SH,2.95,0.06044607764671783,0.0556,0.19187238812446594,-0.4525897872193635,2.518210421654982,0.32475293662766314,-0.3782296727850088
20190731,open a position,option(delta<-0.25),0.5576949795745043,10001896.SH,2.9,0.27884748978725216,0.035,0.1915709674358368,-0.32946164259751665,2.3043496664815053,0.2967062276069462,-0.3502728201155292
20190731,open a position,option(delta>-0.25),1.4423050204254957,10001895.SH,2.85,0.7211525102127478,0.0201,0.190120130777359,-0.2192746274069648,1.896063801847132,0.24228673663934738,-0.28685281552071723
20190731,open a position,option(delta<-0.5),-0.38145777419484483,10001898.SH,3.0,0.38145777419484483,0.0832,0.19437918066978455,-0.5768767096204255,2.4568071990995404,0.32097367314789077,-0.3708379140566752
20190731,open a position,option(delta>-0.5),-0.6185422258051552,10001897.SH,2.95,0.6185422258051552,0.0556,0.19187238812446594,-0.4525897872193635,2.518210421654982,0.32475293662766314,-0.3782296727850088
20190801,close a position,option(delta<-0.25),-0.5576949795745043,10001896.SH,2.9,0.27884748978725216,0.0372,0.1726551353931427,-0.37810589525050353,2.758400312208566,0.3034756879160412,-0.3312236310520964
20190801,close a position,option(delta>-0.25),-1.4423050204254957,10001895.SH,2.85,0.7211525102127478,0.0204,0.17096087336540222,-0.2460077499780513,2.308613242404166,0.2514982810879202,-0.27577492865829006
20190801,close a position,option(delta<-0.5),0.38145777419484483,10001898.SH,3.0,0.38145777419484483,0.0917,0.17504337430000305,-0.6573447969466178,2.630045480807896,0.29335672339179336,-0.30666884222508783
20190801,close a position,option(delta>-0.5),0.6185422258051552,10001897.SH,2.95,0.6185422258051552,0.0595,0.1693185269832611,-0.5221479081384146,2.9470810031287162,0.31796818322153714,-0.3320642715903501
